Year,EventName,RoundNumber,Driver,Team,LapNumber,Stint,Compound,TyreLife,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedST,Time,DriverNumber,PitOutTime,PitInTime,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedFL,IsPersonalBest,FreshTyre,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2021,Bahrain Grand Prix,1,HAM,Mercedes,25.0,2.0,HARD,12.0,0 days 00:01:35.359000,0 days 00:00:30.716000,0 days 00:00:40.983000,0 days 00:00:23.660000,230.0,256.0,286.0,0 days 01:19:53.541000,44,,,0 days 01:18:48.900000,0 days 01:19:29.883000,0 days 01:19:53.543000,277.0,False,True,0 days 01:18:18.182000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,26.0,2.0,HARD,13.0,0 days 00:01:35.622000,0 days 00:00:30.682000,0 days 00:00:41.157000,0 days 00:00:23.783000,231.0,257.0,282.0,0 days 01:21:29.163000,44,,,0 days 01:20:24.225000,0 days 01:21:05.382000,0 days 01:21:29.165000,277.0,False,True,0 days 01:19:53.541000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,27.0,2.0,HARD,14.0,0 days 00:01:35.940000,0 days 00:00:30.766000,0 days 00:00:41.422000,0 days 00:00:23.752000,,256.0,,0 days 01:23:05.103000,44,,,0 days 01:21:59.931000,0 days 01:22:41.353000,0 days 01:23:05.105000,279.0,False,True,0 days 01:21:29.163000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,28.0,2.0,HARD,15.0,0 days 00:01:37.835000,0 days 00:00:30.543000,0 days 00:00:41.164000,0 days 00:00:26.128000,232.0,255.0,285.0,0 days 01:24:42.938000,44,,0 days 01:24:41.240000,0 days 01:23:35.648000,0 days 01:24:16.812000,0 days 01:24:42.940000,,False,True,0 days 01:23:05.103000,,1,2.0,,,False,False
2021,Bahrain Grand Prix,1,HAM,Mercedes,29.0,3.0,HARD,1.0,0 days 00:01:55.194000,0 days 00:00:50.613000,0 days 00:00:41.312000,0 days 00:00:23.269000,231.0,255.0,223.0,0 days 01:26:38.132000,44,0 days 01:25:05.375000,,0 days 01:25:33.553000,0 days 01:26:14.865000,0 days 01:26:38.134000,277.0,False,True,0 days 01:24:42.938000,,1,3.0,,,False,False
2021,Bahrain Grand Prix,1,HAM,Mercedes,30.0,3.0,HARD,2.0,0 days 00:01:34.365000,0 days 00:00:30.213000,0 days 00:00:40.895000,0 days 00:00:23.257000,233.0,258.0,288.0,0 days 01:28:12.497000,44,,,0 days 01:27:08.347000,0 days 01:27:49.242000,0 days 01:28:12.499000,277.0,False,True,0 days 01:26:38.132000,,1,3.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,31.0,3.0,HARD,3.0,0 days 00:01:35.305000,0 days 00:00:30.947000,0 days 00:00:41.186000,0 days 00:00:23.172000,224.0,252.0,277.0,0 days 01:29:47.802000,44,,,0 days 01:28:43.446000,0 days 01:29:24.632000,0 days 01:29:47.804000,278.0,False,True,0 days 01:28:12.497000,,1,2.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,32.0,3.0,HARD,4.0,0 days 00:01:34.729000,0 days 00:00:30.240000,0 days 00:00:41.061000,0 days 00:00:23.428000,234.0,242.0,282.0,0 days 01:31:22.531000,44,,,0 days 01:30:18.044000,0 days 01:30:59.105000,0 days 01:31:22.533000,278.0,False,True,0 days 01:29:47.802000,,1,2.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,33.0,3.0,HARD,5.0,0 days 00:01:35.041000,0 days 00:00:30.362000,0 days 00:00:41.264000,0 days 00:00:23.415000,233.0,244.0,286.0,0 days 01:32:57.572000,44,,,0 days 01:31:52.895000,0 days 01:32:34.159000,0 days 01:32:57.574000,278.0,False,True,0 days 01:31:22.531000,,1,2.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,34.0,3.0,HARD,6.0,0 days 00:01:34.665000,0 days 00:00:30.259000,0 days 00:00:41.084000,0 days 00:00:23.322000,,249.0,,0 days 01:34:32.237000,44,,,0 days 01:33:27.833000,0 days 01:34:08.917000,0 days 01:34:32.239000,278.0,False,True,0 days 01:32:57.572000,,1,2.0,,,False,True
